#QTL	Publication	TO	type	CO	Location
QBRIX2.5	Felderhoff et al 2012				2:74556155-76134690
QBRIX3.1	Guan et al 2011				3:11238573-14013401
QBRIX3.3	Felderhoff et al 2012				3:51633861-55971275
QBRIX3.2	Felderhoff et al 2012				3:54124900-55534027
QBRIX3.5	Felderhoff et al 2012				3:55606976-57014985
QBRIX3.4	Felderhoff et al 2012				3:55643906-56681199
QBRIX3.6	Murray et al 2008a				3:55847206-56487817
QBRIX3.7	Harris-Shultz et al 2015				3:64159312-69885596
QBRIX4.1	Shiringani et al 2010				4:11737375-49607360
QBRIX4.2	Felderhoff et al 2012				4:51939964-56958057
QBRIX4.5	Mocoeur et al 2015				4:52208945-56959194
QBRIX4.3	Felderhoff et al 2012				4:55058137-61213429
QBRIX4.4	Shiringani et al 2010				4:62634564-63161063
QBRIX5.1	Ritter et al 2008				5:1121755-1991826
QBRIX6.5	Mocoeur et al 2015				6:1586424-2975152
QBRIX6.6	Bai et al 2017				6:27196851-43998094
QBRIX6.7	Bai et al 2017				6:38670308-44991166
QBRIX6.1	Ritter et al 2008				6:41762753-43432758
QBRIX6.2	Felderhoff et al 2012				6:47183572-50980689
QBRIX6.3	Shiringani et al 2010				6:50936620-52226904
QBRIX6.4	Shiringani et al 2010				6:59836962-60164943
QBRIX7.1	Shiringani et al 2010				7:4102941-7359391
QBRIX7.4	Bai et al 2017				7:57906214-58287062
QBRIX7.2	Guan et al 2011				7:59342396-59549724
QBRIX7.3	Murray et al 2008a				7:59509098-59549307
QBRIX8.2	Mocoeur et al 2015				8:703679-2044915
QBRIX8.1	Shiringani et al 2010				8:53416107-56896149
QBRIX9.1	Shiringani et al 2010				9:53005463-56972570
QBRIX9.2	Felderhoff et al 2012				9:53844045-57984532
QBRIX9.3	Felderhoff et al 2012				9:54193321-58008982
QBRIX10.2	Felderhoff et al 2012				10:9055301-51971186
QBRIX10.1	Shiringani et al 2010				10:9221032-41745111
QGRCA3.1	Sukumaran et al 2012				3:58576737-58652802
QGRCA6.1	Sukumaran et al 2012				6:58339311-58535381
QGRCC1.1	Salas Fernandez et al 2008	TO:0000575 	parent class		1:13089144-14426142
QGRCC1.2	Salas Fernandez et al 2008				1:57260691-58734149
QGRCC1.3	Salas Fernandez et al 2008				1:69553149-71290397
QGRCC1.4	Salas Fernandez et al 2008				1:78494898-79600883
QGRCC1.5	Salas Fernandez et al 2008				1:78558546-78989026
QGRCC2.1	Salas Fernandez et al 2008				2:20042674-51808153
QGRCC3.1	Salas Fernandez et al 2008				3:70065464-71336419
QGRCC4.1	Salas Fernandez et al 2008				4:48436523-52871702
QGRCC6.1	Salas Fernandez et al 2008				6:50948764-51262892
QGRCC7.1	Salas Fernandez et al 2008				7:61770493-63172700
QGRCC7.2	Salas Fernandez et al 2008				7:61770493-63172700
QGRCC10.1	Salas Fernandez et al 2008				10:3266848-8612490
QGRCC10.2	Salas Fernandez et al 2008				10:3266848-8612490
QGRCC10.3	Salas Fernandez et al 2008				10:55807763-57342306
QGRCC10.5	Salas Fernandez et al 2008				10:55807763-57342306
QGRCC10.4	Salas Fernandez et al 2008				10:56223543-56564728
QGRCC10.6	Salas Fernandez et al 2008				10:56237254-56551017
QSTCL1.1	Shiringani & Friedt 2011				1:53649889-58836106
QSTCL2.1	Shiringani & Friedt 2011				2:61655769-62696491
QSTCL3.2	Murray et al 2008b				3:54835276-55884155
QSTCL3.1	Murray et al 2008b				3:55215233-55592264
QSTCL3.3	Murray et al 2008b				3:58959965-61438567
QSTCL4.1	Shiringani & Friedt 2011				4:61967717-62950434
QSTCL6.1	Shiringani & Friedt 2011				6:50929757-51732974
QSTCL6.2	Shiringani & Friedt 2011				6:56549411-57790928
QSTCL6.3	Shiringani & Friedt 2011				6:60031236-61260478
QSTCL7.1	Murray et al 2008b				7:61930373-63647035
QSTCL8.1	Murray et al 2008b				8:4444571-5883034
QSTCL9.1	Murray et al 2008b				9:1705754-2577324
QSTCL10.1	Shiringani & Friedt 2011				10:9380954-49792895
QCHLC1.27	Fiedler et al 2016	 TO:0000495	parent class		1:4174232-24714511
QCHLC1.3	Rama Reddy et al 2014				1:4228829-11517336
QCHLC1.2	Rama Reddy et al 2014				1:4798438-7374021
QCHLC1.1	Fiedler et al 2014				1:5136752-6613450
QCHLC1.7	Fiedler et al 2014				1:5136752-6613450
QCHLC1.8	Fiedler et al 2014				1:5136752-6613450
QCHLC1.9	Fiedler et al 2014				1:5136752-6613450
QCHLC1.10	Fiedler et al 2014				1:5136752-6613450
QCHLC1.4	Crasta et al 1999				1:13273300-15881634
QCHLC1.11	Fiedler et al 2014				1:13332874-14428903
QCHLC1.12	Fiedler et al 2014				1:13332874-14428903
QCHLC1.5	Bekele et al 2014				1:20282770-24571141
QCHLC1.13	Fiedler et al 2014				1:50213605-51743889
QCHLC1.14	Fiedler et al 2014				1:57296305-57717437
QCHLC1.29	Fiedler et al 2016				1:58977758-59079703
QCHLC1.15	Fiedler et al 2014				1:60953424-60964157
QCHLC1.16	Fiedler et al 2014				1:63695437-64016355
QCHLC1.17	Fiedler et al 2014				1:63695437-64016355
QCHLC1.18	Fiedler et al 2014				1:65297392-65404496
QCHLC1.19	Fiedler et al 2014				1:65297392-65404496
QCHLC1.6	Fiedler et al 2014				1:66822992-66908741
QCHLC1.20	Fiedler et al 2014				1:66822992-66908741
QCHLC1.21	Fiedler et al 2014				1:66822992-66908741
QCHLC1.22	Fiedler et al 2014				1:66822992-66908741
QCHLC1.30	Fiedler et al 2016				1:68052745-69318688
QCHLC1.31	Fiedler et al 2016				1:71421881-71600288
QCHLC1.28	Fiedler et al 2016				1:73867727-73915821
QCHLC1.23	Fiedler et al 2014				1:74611247-74758646
QCHLC1.24	Fiedler et al 2014				1:77441094-77629746
QCHLC1.25	Fiedler et al 2014				1:77893859-78082511
QCHLC2.18	Fiedler et al 2016				2:1212467-6058566
QCHLC2.7	Fiedler et al 2014				2:2583699-2838372
QCHLC2.21	Fiedler et al 2016				2:6055785-6057079
QCHLC2.15	Sukumaran et al 2016				2:6091191-9798885
QCHLC2.20	Fiedler et al 2016				2:7739979-9283831
QCHLC2.8	Bekele et al 2014				2:10274541-14179828
QCHLC2.9	Fiedler et al 2014				2:12771761-13273195
QCHLC2.10	Fiedler et al 2014				2:56845274-57028036
QCHLC2.1	Xu et al 2000				2:60086731-61611305
QCHLC2.2	Xu et al 2000				2:60086731-61611305
QCHLC2.3	Xu et al 2000				2:60086731-61611305
QCHLC2.4	Xu et al 2000				2:60086731-61611305
QCHLC2.5	Subudhi et al 2000				2:60448435-62355948
QCHLC2.16	Sukumaran et al 2016				2:63574121-66467659
QCHLC2.11	Fiedler et al 2014				2:64143885-64863424
QCHLC2.12	Fiedler et al 2014				2:64143885-64863424
QCHLC2.13	Fiedler et al 2014				2:64143885-64863424
QCHLC2.17	Sukumaran et al 2016				2:65904073-68640529
QCHLC2.19	Fiedler et al 2016				2:68773194-75916768
QCHLC2.6	Rama Reddy et al 2014				2:69657754-71198102
QCHLC3.29	Fiedler et al 2016				3:0-3023732
QCHLC3.28	Fiedler et al 2016				3:0-3108305
QCHLC3.30	Fiedler et al 2016				3:0-5846748
QCHLC3.1	Fiedler et al 2014				3:825391-1886609
QCHLC3.14	Fiedler et al 2014				3:6152683-6954960
QCHLC3.2	Fiedler et al 2014				3:14505157-14965844
QCHLC3.15	Fiedler et al 2014				3:14505157-14965844
QCHLC3.16	Fiedler et al 2014				3:16785559-45920667
QCHLC3.17	Fiedler et al 2014				3:48564563-50226202
QCHLC3.3	Subudhi et al 2000				3:57027577-57666432
QCHLC3.32	Fiedler et al 2016				3:57440823-57551305
QCHLC3.4	Xu et al 2000				3:57558928-58273674
QCHLC3.5	Xu et al 2000				3:57558928-58273674
QCHLC3.6	Xu et al 2000				3:57558928-58273674
QCHLC3.7	Xu et al 2000				3:57558928-58273674
QCHLC3.8	Crasta et al 1999				3:57610465-58272850
QCHLC3.9	Xu et al 2000				3:58743039-60449886
QCHLC3.10	Xu et al 2000				3:58762869-60424979
QCHLC3.18	Bekele et al 2014				3:58867345-62348792
QCHLC3.31	Fiedler et al 2016				3:59215615-59463264
QCHLC3.11	Rama Reddy et al 2014				3:61148676-66117608
QSTGR3.1	Xu et al 2000				3:62348804-67061549
QCHLC3.12	Xu et al 2000				3:62348986-67120279
QCHLC3.19	Fiedler et al 2014				3:64190176-65365556
QCHLC3.13	Bekele et al 2014				3:66431017-68185993
QCHLC3.20	Fiedler et al 2014				3:68370945-69144162
QCHLC3.21	Fiedler et al 2014				3:68370945-69144162
QCHLC3.22	Fiedler et al 2014				3:70107540-70424737
QCHLC3.23	Fiedler et al 2014				3:70107540-70424737
QCHLC3.24	Fiedler et al 2014				3:70107540-70424737
QCHLC3.25	Fiedler et al 2014				3:70107540-70424737
QCHLC4.22	Fiedler et al 2016				4:7178490-7312617
QCHLC4.1	Fiedler et al 2014				4:13599133-40221654
QCHLC4.2	Fiedler et al 2014				4:13599133-40221654
QCHLC4.3	Fiedler et al 2014				4:13599133-40221654
QCHLC4.4	Fiedler et al 2014				4:13599133-40221654
QCHLC4.19	Chopra et al 2017				4:41477890-44942836
QCHLC4.20	Chopra et al 2017				4:41477999-44942945
QCHLC4.5	Fiedler et al 2014				4:49168271-49555857
QCHLC4.6	Fiedler et al 2014				4:49168271-49555857
QCHLC4.7	Fiedler et al 2014				4:49168271-49555857
QCHLC4.8	Fiedler et al 2014				4:49168271-49555857
QCHLC4.9	Fiedler et al 2014				4:52564926-52897150
QCHLC4.10	Fiedler et al 2014				4:52564926-52897150
QCHLC4.11	Fiedler et al 2014				4:52564926-52897150
QCHLC4.12	Fiedler et al 2014				4:55840294-55906794
QCHLC4.21	Fiedler et al 2016				4:58560288-60501970
QCHLC5.11	Sukumaran et al 2016				5:743871-2029594
QCHLC5.13	Fiedler et al 2016				5:4095457-4095481
QCHLC5.1	Crasta et al 1999				5:10858103-56278757
QCHLC5.2	Rama Reddy et al 2014				5:11498149-55431220
QCHLC5.14	Fiedler et al 2016				5:13325154-51801798
QCHLC5.12	Sukumaran et al 2016				5:52630224-64143915
QCHLC5.4	Fiedler et al 2014				5:56744888-60777688
QCHLC5.3	Fiedler et al 2014				5:63616966-64144778
QCHLC5.5	Fiedler et al 2014				5:63616966-64144778
QCHLC5.6	Fiedler et al 2014				5:63616966-64144778
QCHLC5.7	Fiedler et al 2014				5:69694851-69729283
QCHLC5.8	Fiedler et al 2014				5:69694851-69729283
QCHLC6.14	Fiedler et al 2016				6:1890620-43122195
QCHLC6.3	Fiedler et al 2014				6:44626281-44937590
QCHLC6.4	Fiedler et al 2014				6:44963076-44986245
QCHLC6.5	Fiedler et al 2014				6:44963076-44986245
QCHLC6.6	Fiedler et al 2014				6:44963076-44986245
QCHLC6.15	Fiedler et al 2016				6:49047403-49500095
QCHLC6.7	Fiedler et al 2014				6:49129024-49532074
QCHLC6.1	Bekele et al 2014				6:53369621-53596472
QCHLC6.2	Rama Reddy et al 2014				6:54816128-56239710
QCHLC6.8	Fiedler et al 2014				6:56384291-56538301
QCHLC6.9	Fiedler et al 2014				6:56643828-56833459
QCHLC6.13	Sukumaran et al 2016				6:57626189-61260478
QCHLC6.10	Fiedler et al 2014				6:58493693-59806930
QCHLC7.1	Rama Reddy et al 2014				7:873091-1276272
QCHLC7.2	Rama Reddy et al 2014				7:1276255-1794088
QCHLC7.5	Fiedler et al 2014				7:1276288-1276297
QCHLC7.6	Fiedler et al 2014				7:1276288-1276297
QCHLC7.3	Fiedler et al 2014				7:2985474-3022187
QCHLC7.7	Fiedler et al 2014				7:2985474-3022187
QCHLC7.18	Fiedler et al 2016				7:3190039-54884157
QCHLC7.19	Fiedler et al 2016				7:9890960-45920616
QCHLC7.4	Fiedler et al 2014				7:39543566-48379318
QCHLC7.8	Fiedler et al 2014				7:39543566-48379318
QCHLC7.9	Fiedler et al 2014				7:39543566-48379318
QCHLC7.10	Fiedler et al 2014				7:39543566-48379318
QCHLC7.11	Fiedler et al 2014				7:39543566-48379318
QCHLC7.12	Fiedler et al 2014				7:53035906-54297940
QCHLC7.13	Fiedler et al 2014				7:64610095-65460255
QCHLC7.14	Fiedler et al 2014				7:64933285-65460255
QCHLC8.16	Fiedler et al 2016				8:162353-3227550
QCHLC8.2	Fiedler et al 2014				8:2302684-2378755
QCHLC8.3	Fiedler et al 2014				8:2302684-2378755
QCHLC8.4	Fiedler et al 2014				8:2404950-2777587
QCHLC8.5	Fiedler et al 2014				8:2404950-2777587
QCHLC8.6	Fiedler et al 2014				8:6997464-7665695
QCHLC8.7	Fiedler et al 2014				8:6997464-7665695
QCHLC8.8	Fiedler et al 2014				8:53440188-53920337
QCHLC8.9	Fiedler et al 2014				8:53440188-53920337
QCHLC8.10	Fiedler et al 2014				8:55243125-55596065
QCHLC8.11	Fiedler et al 2014				8:57389997-57495495
QCHLC8.1	Fiedler et al 2014				8:58301071-58532747
QCHLC8.12	Fiedler et al 2014				8:58301071-58532747
QCHLC8.13	Fiedler et al 2014				8:58301071-58532747
QCHLC8.14	Fiedler et al 2014				8:58301071-58532747
QCHLC8.17	Fiedler et al 2016				8:59856441-59991700
QCHLC8.15	Fiedler et al 2014				8:61222390-62671469
QCHLC9.24	Fiedler et al 2016				9:0-396010
QCHLC9.7	Fiedler et al 2014				9:396010-396010
QCHLC9.25	Fiedler et al 2016				9:1144472-1194333
QCHLC9.29	Fiedler et al 2016				9:1144472-1194333
QCHLC9.4	Rama Reddy et al 2014				9:7501505-47754669
QCHLC9.2	Crasta et al 1999				9:7572017-47753367
QCHLC9.1	Fiedler et al 2014				9:8065651-8157491
QCHLC9.8	Fiedler et al 2014				9:8065651-8157491
QCHLC9.9	Fiedler et al 2014				9:8065651-8157491
QCHLC9.10	Fiedler et al 2014				9:8065651-8157491
QCHLC9.26	Fiedler et al 2016				9:8157516-8157619
QCHLC9.27	Fiedler et al 2016				9:8157527-8157631
QCHLC9.28	Fiedler et al 2016				9:8157533-8157637
QCHLC9.3	Fiedler et al 2014				9:8157833-9496743
QCHLC9.11	Fiedler et al 2014				9:8157833-9496743
QCHLC9.12	Fiedler et al 2014				9:8157833-9496743
QCHLC9.13	Fiedler et al 2014				9:8157833-9496743
QCHLC9.5	Rama Reddy et al 2014				9:8157833-46213669
QCHLC9.14	Fiedler et al 2014				9:13245544-43924917
QCHLC9.15	Fiedler et al 2014				9:13245544-43924917
QCHLC9.16	Fiedler et al 2014				9:13245544-43924917
QCHLC9.17	Fiedler et al 2014				9:13245544-43924917
QCHLC9.18	Fiedler et al 2014				9:13245544-43924917
QCHLC9.19	Fiedler et al 2014				9:47754173-47754598
QCHLC9.23	Fiedler et al 2016				9:49527958-49571383
QCHLC9.6	Rama Reddy et al 2014				9:58013995-59398238
QCHLC10.6	Fiedler et al 2014				10:1573388-1598374
QCHLC10.17	Fiedler et al 2016				10:3211675-3353873
QCHLC10.16	Fiedler et al 2016				10:3930604-5749077
QCHLC10.1	Fiedler et al 2014				10:7418242-7646904
QCHLC10.7	Fiedler et al 2014				10:7418242-7646904
QCHLC10.8	Fiedler et al 2014				10:7418242-7646904
QCHLC10.9	Fiedler et al 2014				10:8044545-8486796
